Количество объектов, единиц	Фактически использовано капитальных вложений за счет всех источников финансирования, тыс.рублей	
		"С начала строительства,
 всего"	"в том числе в 
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	4	2818198,1	311399,8
   временно приостановленные, законсервированные	9	4790405,0	0,0
   окончательно прекращенные строительством	1	573080,7	0,0
   строительство которых не начиналось	3	208087,0	0,0
			
Федеральное дорожное агентство-108			
Всего	192	511074112,4	250649213,2
" в том числе:
    строительство продолжается"	179	500203832,8	250649213,2
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	173	482584296,7	250336803,9
   временно приостановленные, законсервированные	6	2035613,1	0,0
   окончательно прекращенные строительством	6	210086,4	0,0
   строительство которых не начиналось	1	8624580,1	0,0
			
Федеральное агентство морского и речного транспорта-110			
Всего	47	89350482,8	20482459,1
" в том числе:
    строительство продолжается"	23	71635233,7	20304720,4
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	23	71635233,7	20304720,4
   временно приостановленные, законсервированные	16	6114358,3	0,0
   окончательно прекращенные строительством	8	11600890,8	177738,7
   строительство которых не начиналось	0	0,0	0,0
			
Министерство экономического развития  Российской Федерации-139			
Всего	12	6584526,6	0,0
" в том числе:
    строительство продолжается"	8	5891331,2	0,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	3	4648826,0	0,0
   временно приостановленные, законсервированные	4	693195,4	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Федеральное архивное агентство-155			
Всего	2	6525625,7	2502441,5
" в том числе:
    строительство продолжается"	2	6525625,7	2502441,5
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	1	6494056,6	2502441,5
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Федеральная служба по гидрометеорологии и мониторингу окружающей среды- 169			
Всего	18	1265412,3	0,0
" в том числе:
    строительство продолжается"	1	72083,0	0,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	0	0,0	0,0
   временно приостановленные, законсервированные	1	294112,4	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	16	899216,9	0,0
			
МЧС РОССИИ-177			
Всего	78	12281777,9	0,0
" в том числе:
    строительство продолжается"	0	0,0	0,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	0	0,0	0,0
   временно приостановленные, законсервированные	60	11977087,6	0,0
   окончательно прекращенные строительством	18	304690,3	0,0
   строительство которых не начиналось			
			
Росгвардия-180			
Всего	4	5441149,7	2991790,2
" в том числе:
    строительство продолжается"	4	5441149,7	2991790,2
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	4	5441149,7	2991790,2
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Министерство внутренних дел Российской Федерации-188			
Всего	24	3377730,6	943032,7
" в том числе:
    строительство продолжается"	23	3274370,2	943032,7
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	22	3265830,5	943032,7
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	1	103360,4	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Управление делами Президента Российской Федерации-303			
Всего	68	79527519,4	53551515,7
" в том числе:
    строительство продолжается"	68	79527519,4	53551515,7
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	36	68637978,6	53551515,7
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Министерство иностранных дел Российской Федерации-310			
Всего	2	6051007,0	196449,1
" в том числе:
    строительство продолжается"	2	6051007,0	196449,1
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	2	6051007,0	196449,1
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Федеральная служба исполнения наказаний-320			
Всего	227	22256516,1	393441,4
" в том числе:
    строительство продолжается"	94	15644591,3	369556,3
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	27	2288551,3	369556,3
   временно приостановленные, законсервированные	15	5239911,9	0,0
   окончательно прекращенные строительством	5	63486,6	0,0
   строительство которых не начиналось	113	1308526,3	23885,1
			
Федеральная служба государственной регистрации, кадастра и картографии-321			
Всего	1	5500,0	0,0
" в том числе:
    строительство продолжается"	0	0,0	0,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	0	0,0	0,0
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	1	5500,0	0,0
			
Федеральная служба судебных приставов-322			
Всего	1	257722,8	3115,8
" в том числе:
    строительство продолжается"	1	257722,8	3115,8
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	1	257722,8	3115,8
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации-384			
Всего	8	10138711,0	3925039,1
" в том числе:
    строительство продолжается"	6	9982576,1	3899546,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	6	9982576,1	3899546,0
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	2	156134,9	25493,1
			
Государственное образовательное учреждение "Санкт-Петербургский государственный университет"-385			
Всего	7	2794733,3	292016,2
" в том числе:
    строительство продолжается"	2	799692,7	292016,2
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	2	799692,7	292016,2
   временно приостановленные, законсервированные	4	1890698,2	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	1	104342,4	0,0
			
Федеральное медикобиологическое агенмтво-388			
Всего	9	14328947,5	8586689,3
" в том числе:
    строительство продолжается"	6	11670479,1	7603868,8
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	6	11670479,1	7603868,8
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	2	2658468,4	982820,5
   строительство которых не начиналось	1	0,0	0,0
			
ГЕНПРОКУРАТУРА РОССИИ-415			
Всего	9	2068271,3	1334474,7
" в том числе:
    строительство продолжается"	9	2068271,3	1334474,7
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	0	0,0	0,0
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Следственный комитет Российской Федерации-417			
Всего	12	3868157,2	1539434,6
" в том числе:
    строительство продолжается"	8	3851765,5	1537305,7
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	8	3851765,5	1537305,7
